"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"CHINA","Woven fabrics, of artificial filament yarn, nes",26579225,10502,2531,0
"SPAIN","Woven fabrics, of artificial filament yarn, nes",26281730,3320,7916,0
"UNITED KIN","Woven fabrics, of artificial filament yarn, nes",175005,35,5000,0
"CHINA","Woven fabrics, >=85% artificial staple fibres",64040075,17000,3767,0
"JAPAN","Woven fabrics, >=85% artificial staple fibres",6082032,945,6436,0
"CHINA","Woven fabrics, <85% artificial staple fibres, mixed with cotton",93991545,17544,5357,0.01
"DENMARK","Woven fabrics, <85% artificial staple fibres, mixed with cotton",81135,422,192,0
"GERMANY, F","Woven fabrics, <85% artificial staple fibres, mixed with cotton",235119,427,551,0
"GUINEA","Woven fabrics, <85% artificial staple fibres, mixed with cotton",281869,40,7047,0
"NETHERLAND","Woven fabrics, <85% artificial staple fibres, mixed with cotton",10774747,2580,4176,0
"UNITED KIN","Woven fabrics, <85% artificial staple fibres, mixed with cotton",108180,54,2003,0
"UNITED STA","Woven fabrics, <85% artificial staple fibres, mixed with cotton",81135,4,20284,0
"CHINA","Woven fabrics, <85% artificial staple fibres, with wool . . .",32675168,9000,3631,0
"UNITED KIN","Woven fabrics, <85% artificial staple fibres, with wool . . .",1971881,1600,1232,0
"TAIWAN, PR","Woven fabrics, <85% artificial fibres, with man-made filaments",3820491,9100,420,0
"FRANCE","Woven fabrics, <85% artificial fibres, with man-made filaments",162270,20,8114,0
"GERMANY, F","Woven fabrics, <85% artificial fibres, with man-made filaments",108180,10,10818,0
"UNITED KIN","Woven fabrics, <85% artificial fibres, with man-made filaments",4161437,499,8340,0
"UNITED STA","Woven fabrics, <85% artificial fibres, with man-made filaments",7401724,4100,1805,0
"CANADA","Woven fabrics, <85% artificial staple fibres, nes",67913,5,13583,0
"INDONESIA","Woven fabrics, <85% artificial staple fibres, nes",393054,677,581,0
"SINGAPORE","Woven fabrics, <85% artificial staple fibres, nes",869647,30,28988,0
"UNITED STA","Woven fabrics, <85% artificial staple fibres, nes",122003,23,5304,0
"UNITED KIN","Pile fabrics, uncut",2402527,400,6006,0
"UNITED STA","Other pile fabrics and chenille fabrics",44081547,19361,2277,0
"UNITED STA","Woven fabrics of noil silk",2123934,320,6637,0
"NETHERLAND","Other woven fabrics, containing <85% silk",71586,105,682,0
"UNITED KIN","Other woven fabrics, containing <85% silk",1428784,474,3014,0
"HONG KONG","Woven fabrics of flax, with <85% flax",879716,530,1660,0
"UNITED KIN","Woven fabrics of metal thread and woven fabrics of metallized yarn, nes",142118,200,711,0
"CANADA","Terry towelling and similar woven terry fabrics of textile materials",1803,2,902,0
"GERMANY, F","Terry towelling and similar woven terry fabrics of textile materials",14112,280,50,0
"HONG KONG","Terry towelling and similar woven terry fabrics of textile materials",39815510,12471,3193,0
"JAPAN","Terry towelling and similar woven terry fabrics of textile materials",22916,13,1763,0
"NORWAY","Terry towelling and similar woven terry fabrics of textile materials",2196,12,183,0
"SWITZERLAN","Terry towelling and similar woven terry fabrics of textile materials",1803,130,14,0
"UNITED KIN","Terry towelling and similar woven terry fabrics of textile materials",33055,145,228,0
"UNITED STA","Terry towelling and similar woven terry fabrics of textile materials",1803,6,301,0
"UNITED KIN","Tufted textile fabrics",106603,180,592,0
"UNITED KIN","Looped pile fabrics of textile materials, knitted or crocheted",14824292,1500,9883,0
"UNITED STA","Looped pile fabrics of textile materials, knitted or crocheted",1449888,51,28429,0
"GERMANY,F","Pile fabrics of textile materials, nes, knitted or crocheted",7212,1,7212,0
"UNITED STA","Pile fabrics of textile materials, nes, knitted or crocheted",5680652,1400,4058,0
"UNITED KIN","Knitted or crocheted fabrics, =<30cm wide",44885,300,150,0
"UNITED STA","Knitted or crocheted fabrics, =<30cm wide",5793039,9000,644,0
"GERMANY,F","Fabrics, warp knit",12020,10,1202,0
"UNITED KIN","Fabrics, warp knit",28686458,1615,17763,0
"UNITED STA","Weft knits or crocheted fabrics",63390545,20986,3021,0
"UNITED STA","Narrow woven pile fabrics and chenille fabrics",4086192,1700,2404,0
"UNITED KIN","Narrow woven fabrics, with >=5% elastomeric yarn or rubber thread",1565496,730,2145,0
"UNITED STA","Narrow woven fabrics, with >=5% elastomeric yarn or rubber thread",8062225,35844,225,0
"GERMANY,F","Narrow woven fabrics of other textiles, nes",11462272,8000,1433,0
"SINGAPORE","Narrow woven fabrics of other textiles, nes",8047390,44,182895,0
"UNITED KIN","Narrow woven fabrics of other textiles, nes",4344433,1285,3381,0
"UNITED STA","Narrow woven fabrics of other textiles, nes",40128,1700,24,0
"TAIWAN, PR","Labels, badges . . . of textiles, woven, in piece . . ., not embriodered",182495,41,4451,0
"UNITED KIN","Labels, badges . . . of textiles, woven, in piece . . ., not embriodered",300196,1900,158,0
"BELGIUM","Labels, badges . . . of textiles, unwoven, in piece . . ., not embriodered",329744,24,13739,0
"CANADA","Labels, badges . . . of textiles, unwoven, in piece . . ., not embriodered",1357807,20,67890,0
"ITALY","Labels, badges . . . of textiles, unwoven, in piece . . ., not embriodered",244461,69,3543,0
"UNITED KIN","Labels, badges . . . of textiles, unwoven, in piece . . ., not embriodered",2645266,1423,1859,0
"HONG KONG","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",4614120,36680,126,0
"LEBANON","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",1112732,300,3709,0
"SINGAPORE","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",164674,1030,160,0
"SWITZERLAN","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",171886,200,859,0
"THAILAND","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",1054154,200,5271,0
"UNITED KIN","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",13908227,13123,1060,0
"UNITED STA","Braids in piece; ornamental trimmings in pieces; tassels., pompons, etc.",3424520,14398,238,0
"UNITED KIN","Lace and other net fabrics",1118644,480,2331,0
"GERMANY,F","Lace of other textiles in piece, in strips or in motifs, machine made",2050,1,2050,0
"HONG KONG","Lace of other textiles in piece, in strips or in motifs, machine made",637661,242,3635,0
"NETHERLAND","Lace of other textiles in piece, in strips or in motifs, machine made",10929786,4000,2732,0
"SINGAPORE","Lace of other textiles in piece, in strips or in motifs, machine made",2404,10,240,0
"THAILAND","Lace of other textiles in piece, in strips or in motifs, machine made",1127476,90,12528,0
"UNITED KIN","Lace of other textiles in piece, in strips or in motifs, machine made",4637492,662,7005,0
"UNITED STA","Lace of other textiles in piece, in strips or in motifs, machine made",9558168,3701,2583,0
"HONG KONG","Hand-made lace in pieces, in strips or in motifs",736225,242,3042,0
"THAILAND","Hand-made lace in pieces, in strips or in motifs",7920,30,264,0
"UNITED KIN","Hand-made lace in pieces, in strips or in motifs",84985,1,84985,0
"UNITED KIN","Embroidery without visible ground",1799326,2,899663,0
"AUSTRIA","Embroidery of other textiles, in the piece, in strips or in motifs",886475,322,2753,0
"HONG KONG","Embroidery of other textiles, in the piece, in strips or in motifs",841400,422,1994,0
"NETHERLAND","Embroidery of other textiles, in the piece, in strips or in motifs",1600185,677,2364,0
"SWITZERLAN","Embroidery of other textiles, in the piece, in strips or in motifs",307111,80,3839,0
"THAILAND","Embroidery of other textiles, in the piece, in strips or in motifs",116594,30,3886,0
"UNITED KIN","Embroidery of other textiles, in the piece, in strips or in motifs",100968,10,10097,0
"CHINA","Needleloom felt and stitch-bonded fibre fabrics",13804970,53952,256,0
"UNITED KIN","Needleloom felt and stitch-bonded fibre fabrics",40172306,29930,1342,0
"UNITED KIN","Felt of textile materials (excl. impreganted, coated, etc)",11492972,21500,535,0
"CHINA","Felt, nes",73513118,296700,248,0
"HONG KONG","Felt, nes",27770985,78940,352,0
"INDIA","Felt, nes",640959,400,1602,0
"UNITED KIN","Felt, nes",6179961,18300,338,0
"CHINA","Nonwovens",13838626,11548,1198,0
"TAIWAN, PR","Nonwovens",22536899,19117,1179,0
"GERMANY, F","Nonwovens",297495,380,783,0
"HONG KONG","Nonwovens",15906066,21900,726,0
"SINGAPORE","Nonwovens",6010,10,601,0
"HONG KONG","Textile fabrics impregnated, coated, covered or laminated with plastics",11422606,32159,355,0
"INDIA","Textile fabrics impregnated, coated, covered or laminated with plastics",18598546,11816,1574,0
"UNITED KIN","Textile fabrics impregnated, coated, covered or laminated with plastics",17409243,17319,1005,0
"UNITED STA","Textile fabrics impregnated, coated, covered or laminated with plastics",37052852,28016,1323,0
"GERMANY, F","Rubberized textile fabrics",2168659,815,2661,0
"UNITED KIN","Rubberized textile fabrics",2789607,253,11026,0
"UNITED STA","Textile fabrics otherwise impreganted, coated or covered; painted canvas",722402,90,8027,0
"AUSTRALIA","Twine, cordage, rope and cables",249467,50,7989,0
"CHINA","Twine, cordage, rope and cables",6185509,1720,3596,0
"TAIWAN, PR","Twine, cordage, rope and cables",49006500,19775,2478,0
"DENMARK","Twine, cordage, rope and cables",7944018,2200,3611,0
"GERMANY, F","Twine, cordage, rope and cables",31370106,17076,1837,0
"HONG KONG","Twine, cordage, rope and cables",14609816,9399,1554,0
"KOREA DEMO","Twine, cordage, rope and cables",46037938,15019,3065,0
"KOREA REPU","Twine, cordage, rope and cables",318695716,161606,1972,0.02
"LEBANON","Twine, cordage, rope and cables",973620,90,10818,0
"NETHERLAND","Twine, cordage, rope and cables",2102,30,70,0
"NORWAY","Twine, cordage, rope and cables",2396444,160,14978,0
"SINGAPORE","Twine, cordage, rope and cables",415892,500,832,0
"THAILAND","Twine, cordage, rope and cables",122649155,45534,2694,0.01
"UNITED KIN","Twine, cordage, rope and cables",19501486,10787,1808,0
"CHINA","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",198979080,29003,6861,0.01
"TAIWAN, PR","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",117173745,27046,4332,0.01
"GERMANY, F","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",3606,145,25,0
"JAPAN","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",35746230,2625,13618,0
"KOREA DEMO","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",161398518,41499,3889,0.01
"KOREA REPU","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",757194285,158361,4781,0.04
"NORWAY","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",1000202,1135,881,0
"SINGAPORE","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",20962279,412936,51,0
"THAILAND","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",172859216,31767,5441,0.01
"UNITED KIN","Knotted netting of twine, cordage or rope; cordage or rope; made up fishing nets, etc.",4660447,2559,1821,0
"UNITED STA","Knotted netting of twine, cordage or rope; made up fishing nets, etc",4409495,18474,239,0
"GERMANY, F","Articles of yarn, strip or the like, twine, cordage, rope or cables",10248,25,410,0
"ITALY","Articles of yarn, strip or the like, twine, cordage, rope or cables",867901,200,4340,0
"LEBANON","Articles of yarn, strip or the like, twine, cordage, rope or cables",404473,8,50559,0
"LIBERIA","Articles of yarn, strip or the like, twine, cordage, rope or cables",7999270,3000,2666,0
"SWITZERLAN","Articles of yarn, strip or the like, twine, cordage, rope or cables",103158,72,1433,0
"INDONESIA","Hat-shapes, plaited or made by assemling strips of any material, nes",108781,42,2590,0
"SINGAPORE","Hat-shapes, plaited or made by assemling strips of any material, nes",108781,42,2590,0
"BELGIUM","Wadding of textile materials and articles thereof; textile fibres",6010,10,601,0
"GERMANY, F","Wadding of textile materials and articles thereof; textile fibres",24477,8,3060,0
"HEARD & MC","Wadding of textile materials and articles thereof; textile fibres",3092464,2900,1066,0
"HONG KONG","Wadding of textile materials and articles thereof; textile fibres",161736514,150735,1073,0.01
"ISRAEL","Wadding of textile materials and articles thereof; textile fibres",535,1,535,0
"NETHERLAND","Wadding of textile materials and articles thereof; textile fibres",4207,5,841,0
"SINGAPORE","Wadding of textile materials and articles thereof; textile fibres",682135,390,1749,0
"THAILAND","Wadding of textile materials and articles thereof; textile fibres",262036,120,2184,0
"UNITED KIN","Wadding of textile materials and articles thereof; textile fibres",4635361,3355,1382,0
"UNITED STA","Wadding of textile materials and articles thereof; textile fibres",6957019,7087,982,0
"BRAZIL","Textile wicks, woven, plaited or knitted, for lamps, stoves lighters . . .",2286204,54,42337,0
"CHINA","Textile wicks, woven, plaited or knitted, for lamps, stoves lighters . . .",3512845,8000,429,0
"HONG KONG","Textile wicks, woven, plaited or knitted, for lamps, stoves lighters . . .",1322200,185,7147,0
"UNITED KIN","Textile wicks, woven, plaited or knitted, for lamps, stoves lighters . . .",594389,98,6065,0
"UNITED STA","Textile wicks, woven, plaited or knitted, for lamps, stoves lighters . . .",2426237,114,21283,0
"GERMANY, F","Textile products and articles, for technical uses",132961420,28908,4599,0.01
"ITALY","Textile products and articles, for technical uses",378810,37,10238,0
"UNITED KIN","Textile products and articles, for technical uses",2885275,273,10569,0
"UNITED STA","Textile products and articles, for technical uses",6663280,170,39196,0
"UNITED KIN","Rubber thread and cord, textile covered",563231,995,566,0
"HONG KONG","Other textile yarn and strip, etc, impregnated or coated, nes",2277286,20,11364,0
"UNITED KIN","Textile . . . tubing, with or without lining, etc, of other materials",327980,90,3644,0
"GERMANY, F","Transmission or conveyor belts or belting, of textile material",2292214,30,76407,0
"UNITED KIN","Transmission or conveyor belts or belting, of textile material",6137830,1145,5361,0
"BANGLADESH","Sacks and bags, used for packing goods, of jute, etc",1118637083,3876431,289,0.06
"BELGIUM","Sacks and bags, used for packing goods, of jute, etc",5474028,97900,56,0
"FRANCE","Sacks and bags, used for packing goods, of jute, etc",2331260,2095,1113,0
"GERMANY, F","Sacks and bags, used for packing goods, of jute, etc",14759137,133828,110,0
"INDIA","Sacks and bags, used for packing goods, of jute, etc",9027980,8600,1050,0
"NETHERLAND","Sacks and bags, used for packing goods, of jute, etc",10296237,144525,71,0
"VIET NAM","Sacks and bags, used for packing goods, of jute, etc",375024,100,3750,0
"UNITED KIN","Sacks and bags, used for packing goods, of jute, etc",2499495,180,13886,0
"NETHERLAND","Sacks and bags, used for packing goods, of cotton",65475945,28200,2322,0
"PAKISTAN","Sacks and bags, used for packing goods, of cotton",269149446,126900,2121,0.01
"UNITED KIN","Sacks and bags, used for packing goods, of cotton",12020000,2000,6010,0
"CHINA","Sacks and bags, used for packing goods, of man-made textile fibres",13774319,9652,1427,0
"FRANCE","Sacks and bags, used for packing goods, of man-made textile fibres",126110,167,755,0
"HONG KONG","Sacks and bags, used for packing goods, of man-made textile fibres",242203,20,12110,0
"LEBANON","Sacks and bags, used for packing goods, of man-made textile fibres",270584,900,301,0
"NETHERLAND","Sacks and bags, used for packing goods, of man-made textile fibres",257810,200,1289,0
"UNITED KIN","Sacks and bags, used for packing goods, of man-made textile fibres",52001920,61555,845,0
"UNITED STA","Sacks and bags, used for packing goods, of man-made textile fibres",19404,20,970,0
"AUSTRALIA","Sacks and bags, used for packing goods, of other textiles, nes",56083,30,1869,0
"UNITED KIN","Sacks and bags, used for packing goods, of other textiles, nes",7745948,2344,3305,0
"UNITED STA","Sacks and bags, used for packing goods, of other textiles, nes",139995,10,14000,0
"GERMANY, F","Tarpaulins, awnings and sunblinds",3143486,17680,178,0
"INDIA","Tarpaulins, awnings and sunblinds",16828,30,561,0
"ITALY","Tarpaulins, awnings and sunblinds",2712703,324,8373,0
"JAPAN","Tarpaulins, awnings and sunblinds",26444,200,132,0
"KOREA DEMO","Tarpaulins, awnings and sunblinds",92554,150,617,0
"LEBANON","Tarpaulins, awnings and sunblinds",4103628,700,5862,0
"THAILAND","Tarpaulins, awnings and sunblinds",57524114,13400,4293,0
"UNITED KIN","Tarpaulins, awnings and sunblinds",47127040,17527,2689,0
"UNITED STA","Tarpaulins, awnings and sunblinds",799680,150,5331,0
"CHINA","Tents",375625,148,2538,0
"DENMARK","Tents",695295,20,34763,0
"GERMANY, F","Tents",2845339,4313,660,0
"NETHERLAND","Tents",775110,520,1491,0
"UNITED KIN","Tents",8139337,2696,3019,0
"UNITED STA","Tents",32306,1,32306,0
"NORWAY","Sails",768680,60,12811,0
"NETHERLAND","Pneumatic mattresses",22600,4,5650,0
"UNITED KIN","Pneumatic mattresses",2614049,110,23764,0
"NETHERLAND","Camping goods, nes",1873593,720,2602,0
"CHINA","Blankets (excl. electric blankets) and travelling rugs, of wool . . .",864839,7521,115,0
"GERMANY, F","Blankets (excl. electric blankets) and travelling rugs, of wool . . .",1803,75,24,0
"HONG KONG","Blankets (excl. electric blankets) and travelling rugs, of wool . . .",3577152,3000,1192,0
